,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
1115,300,0,1,0,-1
1116,301,0,0,1,1
1117,302,0,0,1,1
1118,302,0,0,0,0
1119,303,0,0,1,1
1120,304,0,0,1,1
1121,304,0,0,0,0
1122,304,0,0,0,0
1123,305,0,0,1,1
1124,305,0,0,0,0
1125,305,0,0,0,0
1126,306,0,0,1,1
1127,306,0,0,0,0
1128,307,0,0,1,1
1129,308,0,0,1,1
1130,308,0,0,0,0
1131,308,0,0,0,0
1132,309,0,0,1,1
1133,310,0,0,1,1
1134,310,0,0,0,0
1135,311,0,0,1,1
1136,311,0,0,0,0
1137,311,0,0,0,0
1138,312,0,0,1,1
1139,312,0,0,0,0
1140,313,0,0,1,1
1141,314,0,0,1,1
1142,315,0,0,1,1
1143,315,0,0,0,0
1144,315,0,0,0,0
1145,316,0,0,1,1
1146,316,0,0,0,0
1147,316,0,0,0,0
1148,317,0,0,1,1
1149,318,0,1,2,1
1150,319,0,0,1,1
1151,319,0,0,0,0
1152,319,0,0,0,0
1153,319,0,0,0,0
1154,319,0,0,0,0
1155,319,0,0,0,0
1156,319,0,0,0,0
1157,319,0,0,0,0
1158,319,0,0,0,0
1159,320,0,0,1,1
1160,321,0,0,1,1
1161,321,0,0,0,0
1162,322,0,0,1,1
1163,323,0,0,1,1
1164,323,0,0,0,0
1165,323,0,0,0,0
1166,324,0,0,1,1
1167,324,0,0,0,0
1168,324,0,1,1,0
1169,324,0,0,0,0
1170,324,0,0,0,0
1171,324,0,0,0,0
1172,324,0,0,0,0
1173,324,0,0,0,0
1174,325,0,0,1,1
1175,326,0,0,1,1
1176,326,0,0,0,0
1177,327,0,0,1,1
1178,328,0,0,1,1
1179,328,0,0,0,0
1180,330,0,0,2,2
1181,330,0,0,0,0
1182,331,0,0,1,1
1183,332,1,0,2,1
1184,334,0,0,2,2
1185,335,0,0,1,1
1186,337,0,0,2,2
1187,337,0,0,0,0
1188,338,0,0,1,1
1189,338,0,0,0,0
1190,340,0,0,2,2
1191,341,0,0,1,1
1192,343,0,0,2,2
1193,343,0,0,0,0
1194,343,0,0,0,0
1195,343,0,0,0,0
1196,343,0,0,0,0
1197,344,0,0,1,1
1198,345,0,0,1,1
1199,347,0,0,2,2
1200,349,0,0,2,2
1201,349,0,0,0,0
1202,353,0,0,4,4
1203,354,0,0,1,1
1204,354,0,0,0,0
1205,355,0,0,1,1
1206,356,0,0,1,1
1207,358,0,0,2,2
1208,358,0,0,0,0
1209,358,0,0,0,0
1210,361,0,0,3,3
1211,361,0,0,0,0
1212,360,0,1,0,-1
1213,360,0,0,0,0
1214,361,0,1,2,1
1215,362,0,0,1,1
1216,362,0,0,0,0
1217,362,0,0,0,0
1218,363,0,0,1,1
1219,365,0,0,2,2
1220,366,0,0,1,1
1221,367,0,0,1,1
1222,368,0,0,1,1
1223,369,0,0,1,1
1224,370,0,0,1,1
1225,371,0,0,1,1
1226,372,0,0,1,1
1227,372,0,0,0,0
1228,372,0,0,0,0
1229,372,0,0,0,0
1230,373,0,0,1,1
1231,373,0,0,0,0
1232,373,0,0,0,0
1233,375,0,0,2,2
1234,375,0,0,0,0
1235,376,0,0,1,1
1236,378,0,0,2,2
1237,380,0,0,2,2
1238,380,0,0,0,0
1239,380,0,0,0,0
1240,380,0,0,0,0
1241,381,0,0,1,1
1242,381,0,0,0,0
1243,382,0,0,1,1
1244,383,0,0,1,1
1245,384,0,0,1,1
1246,386,0,0,2,2
1247,387,0,0,1,1
1248,387,0,0,0,0
1249,387,0,0,0,0
1250,387,0,0,0,0
1251,387,0,0,0,0
1252,388,0,0,1,1
1253,388,0,0,0,0
1254,388,0,0,0,0
1255,389,0,0,1,1
1256,393,0,0,4,4
1257,393,0,0,0,0
1258,395,0,0,2,2
1259,395,0,0,0,0
1260,395,0,0,0,0
1261,396,0,0,1,1
1262,398,0,0,2,2
1263,398,0,0,0,0
1264,398,0,0,0,0
1265,398,0,0,0,0
1266,399,0,0,1,1
1267,400,0,0,1,1
1268,400,0,0,0,0
1269,401,0,0,1,1
1270,402,0,0,1,1
1271,402,0,0,0,0
1272,402,0,0,0,0
1273,402,0,0,0,0
1274,403,0,0,1,1
1275,404,0,0,1,1
1276,405,0,0,1,1
1277,406,0,0,1,1
1278,407,0,0,1,1
1279,406,0,1,0,-1
1280,407,0,1,2,1
1281,408,0,0,1,1
1282,409,0,0,1,1
1283,409,0,0,0,0
1284,409,0,0,0,0
1285,409,0,0,0,0
1286,410,0,0,1,1
1287,410,0,0,0,0
1288,410,0,0,0,0
1289,410,0,0,0,0
1290,410,0,0,0,0
1291,410,0,0,0,0
1292,411,0,0,1,1
1293,411,0,0,0,0
1294,411,0,0,0,0
1295,413,0,0,2,2
1296,413,0,0,0,0
1297,414,0,0,1,1
1298,415,0,0,1,1
1299,417,0,0,2,2
1300,418,0,0,1,1
1301,418,0,0,0,0
1302,419,0,0,1,1
1303,419,0,1,1,0
1304,422,0,0,3,3
1305,422,0,0,0,0
1306,423,0,0,1,1
1307,423,0,0,0,0
1308,423,0,0,0,0
1309,424,0,0,1,1
1310,424,0,0,0,0
1311,425,0,0,1,1
1312,425,0,0,0,0
1313,426,0,0,1,1
1314,429,0,0,3,3
1315,430,0,0,1,1
1316,433,0,0,3,3
1317,434,0,0,1,1
1318,434,0,0,0,0
1319,435,0,0,1,1
1320,436,0,0,1,1
1321,437,0,0,1,1
1322,439,0,0,2,2
1323,439,0,0,0,0
1324,439,0,0,0,0
1325,439,0,0,0,0
1326,439,0,0,0,0
1327,440,0,0,1,1
1328,441,0,0,1,1
1329,444,0,0,3,3
1330,443,0,1,0,-1
1331,443,0,0,0,0
1332,443,0,0,0,0
1333,443,0,0,0,0
1334,444,0,0,1,1
1335,443,0,1,0,-1
1336,444,0,0,1,1
1337,447,0,0,3,3
1338,448,0,0,1,1
1339,448,0,0,0,0
1340,448,0,0,0,0
1341,448,0,0,0,0
1342,448,0,0,0,0
1343,448,0,0,0,0
1344,450,0,0,2,2
1345,450,0,0,0,0
1346,450,0,0,0,0
1347,451,0,0,1,1
1348,451,0,0,0,0
1349,450,0,1,0,-1
1350,451,0,0,1,1
1351,451,0,0,0,0
1352,453,0,0,2,2
1353,453,0,0,0,0
1354,455,0,0,2,2
1355,456,0,0,1,1
1356,456,0,0,0,0
1357,458,0,0,2,2
