,Unnamed: 0,kyon_nums,captured_kyons,dead_kyons,born_kyons,increase
736,736.0,169.9,0.0,0.0,0.2,0.2
737,737.0,170.0,0.0,0.0,0.1,0.1
738,738.0,170.0,0.0,0.1,0.1,0.0
739,739.0,170.1,0.0,0.0,0.1,0.1
740,740.0,170.5,0.0,0.0,0.4,0.4
741,741.0,170.6,0.0,0.0,0.1,0.1
742,742.0,170.9,0.0,0.0,0.3,0.3
743,743.0,171.1,0.0,0.0,0.2,0.2
744,744.0,171.5,0.0,0.0,0.4,0.4
745,745.0,171.7,0.0,0.0,0.2,0.2
746,746.0,172.1,0.0,0.0,0.4,0.4
747,747.0,172.2,0.0,0.0,0.1,0.1
748,748.0,172.4,0.0,0.0,0.2,0.2
749,749.0,172.4,0.0,0.0,0.0,0.0
750,750.0,172.7,0.0,0.0,0.3,0.3
751,751.0,173.2,0.0,0.0,0.5,0.5
752,752.0,173.5,0.0,0.0,0.3,0.3
753,753.0,173.7,0.0,0.0,0.2,0.2
754,754.0,173.9,0.0,0.0,0.2,0.2
755,755.0,174.2,0.0,0.0,0.3,0.3
756,756.0,174.3,0.0,0.0,0.1,0.1
757,757.0,174.7,0.0,0.0,0.4,0.4
758,758.0,175.0,0.0,0.0,0.3,0.3
759,759.0,175.3,0.0,0.0,0.3,0.3
760,760.0,175.3,0.0,0.1,0.1,0.0
761,761.0,175.2,0.0,0.1,0.0,-0.1
762,762.0,175.8,0.0,0.0,0.6,0.6
763,763.0,176.2,0.0,0.0,0.4,0.4
764,764.0,176.5,0.0,0.0,0.3,0.3
765,765.0,177.0,0.0,0.0,0.5,0.5
766,766.0,177.3,0.0,0.0,0.3,0.3
767,767.0,177.7,0.0,0.0,0.4,0.4
768,768.0,178.0,0.0,0.0,0.3,0.3
769,769.0,178.3,0.0,0.0,0.3,0.3
770,770.0,178.5,0.0,0.0,0.2,0.2
771,771.0,178.7,0.0,0.0,0.2,0.2
772,772.0,178.7,0.0,0.0,0.0,0.0
773,773.0,179.1,0.0,0.0,0.4,0.4
774,774.0,179.3,0.0,0.0,0.2,0.2
775,775.0,179.6,0.0,0.0,0.3,0.3
776,776.0,180.0,0.0,0.0,0.4,0.4
777,777.0,180.1,0.0,0.1,0.2,0.1
778,778.0,180.6,0.0,0.0,0.5,0.5
779,779.0,180.8,0.0,0.0,0.2,0.2
780,780.0,181.2,0.0,0.0,0.4,0.4
781,781.0,181.4,0.1,0.1,0.4,0.2
782,782.0,181.4,0.0,0.0,0.0,0.0
783,783.0,181.7,0.0,0.0,0.3,0.3
784,784.0,182.0,0.0,0.0,0.3,0.3
785,785.0,182.0,0.0,0.0,0.0,0.0
786,786.0,182.3,0.0,0.0,0.3,0.3
787,787.0,182.9,0.0,0.0,0.6,0.6
788,788.0,183.2,0.0,0.1,0.4,0.3
789,789.0,183.4,0.0,0.0,0.2,0.2
790,790.0,184.0,0.0,0.0,0.6,0.6
791,791.0,184.5,0.0,0.0,0.5,0.5
792,792.0,184.7,0.0,0.0,0.2,0.2
793,793.0,185.2,0.0,0.0,0.5,0.5
794,794.0,185.4,0.0,0.0,0.2,0.2
795,795.0,185.7,0.0,0.0,0.3,0.3
796,796.0,185.9,0.0,0.0,0.2,0.2
797,797.0,186.3,0.0,0.0,0.4,0.4
798,798.0,186.6,0.0,0.0,0.3,0.3
799,799.0,186.9,0.0,0.0,0.3,0.3
800,800.0,187.2,0.0,0.0,0.3,0.3
801,801.0,187.4,0.0,0.0,0.2,0.2
802,802.0,187.7,0.0,0.0,0.3,0.3
803,803.0,188.1,0.0,0.0,0.4,0.4
804,804.0,188.7,0.1,0.0,0.7,0.6
805,805.0,189.1,0.0,0.0,0.4,0.4
806,806.0,189.5,0.0,0.0,0.4,0.4
807,807.0,189.6,0.0,0.0,0.1,0.1
808,808.0,190.0,0.0,0.0,0.4,0.4
809,809.0,190.3,0.0,0.0,0.3,0.3
810,810.0,190.4,0.0,0.0,0.1,0.1
811,811.0,190.7,0.0,0.1,0.4,0.3
812,812.0,191.3,0.0,0.0,0.6,0.6
813,813.0,192.0,0.0,0.0,0.7,0.7
814,814.0,192.1,0.0,0.0,0.1,0.1
815,815.0,192.3,0.0,0.0,0.2,0.2
816,816.0,192.6,0.0,0.0,0.3,0.3
817,817.0,193.0,0.0,0.0,0.4,0.4
818,818.0,193.4,0.0,0.0,0.4,0.4
819,819.0,193.8,0.0,0.0,0.4,0.4
820,820.0,194.2,0.0,0.0,0.4,0.4
821,821.0,194.3,0.0,0.0,0.1,0.1
822,822.0,194.6,0.0,0.0,0.3,0.3
823,823.0,195.0,0.0,0.0,0.4,0.4
824,824.0,195.7,0.0,0.0,0.7,0.7
825,825.0,195.8,0.0,0.0,0.1,0.1
826,826.0,196.7,0.0,0.0,0.9,0.9
827,827.0,197.0,0.0,0.0,0.3,0.3
828,828.0,197.2,0.0,0.0,0.2,0.2
829,829.0,197.6,0.0,0.0,0.4,0.4
830,830.0,198.0,0.0,0.0,0.4,0.4
831,831.0,198.6,0.0,0.0,0.6,0.6
832,832.0,199.2,0.0,0.0,0.6,0.6
833,833.0,199.4,0.0,0.0,0.2,0.2
834,834.0,199.6,0.1,0.0,0.3,0.2
835,835.0,199.9,0.0,0.1,0.4,0.3
836,836.0,200.1,0.0,0.2,0.4,0.2
837,837.0,200.2,0.0,0.1,0.2,0.1
838,838.0,200.7,0.0,0.0,0.5,0.5
839,839.0,201.1,0.0,0.0,0.4,0.4
840,840.0,201.3,0.0,0.0,0.2,0.2
841,841.0,201.7,0.0,0.0,0.4,0.4
842,842.0,202.0,0.0,0.0,0.3,0.3
843,843.0,202.3,0.0,0.0,0.3,0.3
844,844.0,202.7,0.0,0.0,0.4,0.4
845,845.0,202.8,0.0,0.0,0.1,0.1
846,846.0,203.1,0.0,0.1,0.4,0.3
847,847.0,203.4,0.0,0.0,0.3,0.3
848,848.0,203.8,0.0,0.0,0.4,0.4
849,849.0,204.1,0.0,0.0,0.3,0.3
850,850.0,204.5,0.2,0.0,0.6,0.4
851,851.0,205.2,0.0,0.0,0.7,0.7
852,852.0,205.5,0.0,0.0,0.3,0.3
853,853.0,205.8,0.0,0.2,0.5,0.3
854,854.0,206.1,0.0,0.0,0.3,0.3
855,855.0,206.6,0.0,0.0,0.5,0.5
856,856.0,206.9,0.0,0.0,0.3,0.3
857,857.0,207.0,0.0,0.1,0.2,0.1
858,858.0,207.6,0.0,0.1,0.7,0.6
859,859.0,207.9,0.0,0.1,0.4,0.3
860,860.0,208.2,0.0,0.0,0.3,0.3
861,861.0,208.7,0.0,0.0,0.5,0.5
862,862.0,209.2,0.0,0.0,0.5,0.5
863,863.0,209.7,0.0,0.0,0.5,0.5
864,864.0,210.4,0.0,0.0,0.7,0.7
865,865.0,210.6,0.0,0.0,0.2,0.2
866,866.0,210.9,0.0,0.0,0.3,0.3
867,867.0,211.6,0.0,0.0,0.7,0.7
868,868.0,212.1,0.0,0.0,0.5,0.5
869,869.0,212.7,0.0,0.0,0.6,0.6
870,870.0,213.0,0.0,0.1,0.4,0.3
871,871.0,213.5,0.0,0.0,0.5,0.5
872,872.0,213.5,0.0,0.1,0.1,0.0
873,873.0,214.2,0.0,0.0,0.7,0.7
874,874.0,214.4,0.0,0.1,0.3,0.2
875,875.0,214.8,0.0,0.0,0.4,0.4
876,876.0,215.2,0.0,0.0,0.4,0.4
877,877.0,215.5,0.0,0.0,0.3,0.3
878,878.0,216.1,0.0,0.0,0.6,0.6
879,879.0,216.4,0.0,0.0,0.3,0.3
880,880.0,216.5,0.0,0.0,0.1,0.1
881,881.0,217.0,0.0,0.0,0.5,0.5
882,882.0,217.3,0.0,0.1,0.4,0.3
883,883.0,217.2,0.0,0.2,0.1,-0.1
884,884.0,217.9,0.0,0.0,0.7,0.7
885,885.0,218.5,0.0,0.0,0.6,0.6
886,886.0,218.9,0.0,0.0,0.4,0.4
887,887.0,219.4,0.0,0.0,0.5,0.5
888,888.0,220.3,0.0,0.0,0.9,0.9
889,889.0,220.5,0.0,0.0,0.2,0.2
890,890.0,221.0,0.0,0.1,0.6,0.5
891,891.0,221.4,0.0,0.1,0.5,0.4
892,892.0,221.9,0.0,0.0,0.5,0.5
893,893.0,222.2,0.0,0.0,0.3,0.3
894,894.0,223.2,0.0,0.0,1.0,1.0
895,895.0,223.7,0.0,0.0,0.5,0.5
896,896.0,224.0,0.0,0.1,0.4,0.3
897,897.0,224.8,0.0,0.0,0.8,0.8
898,898.0,225.5,0.0,0.0,0.7,0.7
899,899.0,226.0,0.1,0.0,0.6,0.5
900,900.0,226.5,0.0,0.0,0.5,0.5
901,901.0,226.8,0.0,0.0,0.3,0.3
902,902.0,227.1,0.0,0.1,0.4,0.3
903,903.0,227.2,0.0,0.0,0.1,0.1
904,904.0,227.5,0.0,0.1,0.4,0.3
905,905.0,227.9,0.0,0.0,0.4,0.4
906,906.0,228.2,0.0,0.0,0.3,0.3
907,907.0,228.3,0.0,0.0,0.1,0.1
908,908.0,228.7,0.0,0.1,0.5,0.4
909,909.0,229.1,0.0,0.0,0.4,0.4
910,910.0,229.5,0.0,0.0,0.4,0.4
911,911.0,229.8,0.0,0.1,0.4,0.3
912,912.0,230.0,0.0,0.1,0.3,0.2
913,913.0,230.4,0.0,0.0,0.4,0.4
914,914.0,231.2,0.0,0.1,0.9,0.8
915,915.0,231.5,0.0,0.0,0.3,0.3
916,916.0,232.1,0.0,0.0,0.6,0.6
917,917.0,232.4,0.0,0.0,0.3,0.3
918,918.0,232.9,0.0,0.0,0.5,0.5
919,919.0,233.1,0.0,0.0,0.2,0.2
920,920.0,233.4,0.0,0.0,0.3,0.3
921,921.0,233.9,0.0,0.0,0.5,0.5
922,922.0,234.3,0.0,0.0,0.4,0.4
923,923.0,234.8,0.0,0.0,0.5,0.5
924,924.0,235.2,0.0,0.0,0.4,0.4
925,925.0,235.2,0.0,0.0,0.0,0.0
926,926.0,235.6,0.0,0.0,0.4,0.4
927,927.0,236.1,0.0,0.0,0.5,0.5
928,928.0,236.4,0.0,0.1,0.4,0.3
929,929.0,237.0,0.0,0.0,0.6,0.6
930,930.0,237.2,0.0,0.0,0.2,0.2
931,931.0,237.7,0.0,0.0,0.5,0.5
932,932.0,238.1,0.0,0.0,0.4,0.4
933,933.0,238.4,0.0,0.0,0.3,0.3
934,934.0,238.8,0.0,0.0,0.4,0.4
935,935.0,239.5,0.0,0.0,0.7,0.7
936,936.0,239.8,0.0,0.0,0.3,0.3
937,937.0,240.0,0.0,0.0,0.2,0.2
938,938.0,240.0,0.0,0.0,0.0,0.0
939,939.0,240.3,0.0,0.0,0.3,0.3
940,940.0,240.6,0.0,0.0,0.3,0.3
941,941.0,241.3,0.0,0.1,0.8,0.7
942,942.0,241.7,0.0,0.1,0.5,0.4
943,943.0,242.0,0.0,0.0,0.3,0.3
944,944.0,242.7,0.0,0.1,0.8,0.7
945,945.0,243.3,0.0,0.0,0.6,0.6
946,946.0,243.7,0.0,0.1,0.5,0.4
947,947.0,244.3,0.0,0.1,0.7,0.6
948,948.0,244.5,0.0,0.0,0.2,0.2
949,949.0,245.1,0.0,0.0,0.6,0.6
950,950.0,245.1,0.0,0.0,0.0,0.0
951,951.0,245.8,0.0,0.0,0.7,0.7
952,952.0,246.3,0.0,0.0,0.5,0.5
953,953.0,247.1,0.0,0.0,0.8,0.8
954,954.0,247.4,0.0,0.1,0.4,0.3
955,955.0,247.9,0.0,0.0,0.5,0.5
956,956.0,248.2,0.0,0.1,0.4,0.3
957,957.0,248.4,0.0,0.0,0.2,0.2
958,958.0,248.4,0.0,0.1,0.1,0.0
959,959.0,248.8,0.0,0.0,0.4,0.4
960,960.0,249.1,0.0,0.1,0.4,0.3
961,961.0,249.5,0.0,0.2,0.6,0.4
962,962.0,250.1,0.0,0.0,0.6,0.6
963,963.0,250.7,0.0,0.0,0.6,0.6
964,964.0,251.1,0.0,0.0,0.4,0.4
965,965.0,251.3,0.0,0.0,0.2,0.2
966,966.0,251.7,0.0,0.0,0.4,0.4
967,967.0,252.3,0.0,0.0,0.6,0.6
968,968.0,252.7,0.0,0.0,0.4,0.4
969,969.0,253.0,0.1,0.0,0.4,0.3
970,970.0,254.1,0.0,0.0,1.1,1.1
971,971.0,254.6,0.0,0.0,0.5,0.5
972,972.0,255.2,0.1,0.0,0.7,0.6
973,973.0,255.6,0.0,0.0,0.4,0.4
974,974.0,255.9,0.1,0.1,0.5,0.3
975,975.0,256.4,0.0,0.0,0.5,0.5
976,976.0,256.8,0.0,0.0,0.4,0.4
977,977.0,257.0,0.0,0.1,0.3,0.2
978,978.0,257.4,0.0,0.0,0.4,0.4
979,979.0,257.7,0.0,0.0,0.3,0.3
980,980.0,258.5,0.0,0.0,0.8,0.8
981,981.0,258.9,0.0,0.1,0.5,0.4
982,982.0,259.0,0.0,0.2,0.3,0.1
983,983.0,259.1,0.0,0.0,0.1,0.1
984,984.0,259.7,0.0,0.1,0.7,0.6
985,985.0,260.5,0.0,0.0,0.8,0.8
986,986.0,260.6,0.0,0.2,0.3,0.1
987,987.0,261.0,0.0,0.0,0.4,0.4
988,988.0,261.5,0.0,0.0,0.5,0.5
989,989.0,262.0,0.0,0.0,0.5,0.5
990,990.0,262.1,0.0,0.1,0.2,0.1
991,991.0,262.8,0.0,0.0,0.7,0.7
992,992.0,263.0,0.0,0.0,0.2,0.2
993,993.0,263.2,0.0,0.0,0.2,0.2
994,994.0,263.7,0.0,0.1,0.6,0.5
995,995.0,263.8,0.0,0.0,0.1,0.1
996,996.0,264.2,0.0,0.0,0.4,0.4
997,997.0,264.5,0.0,0.1,0.4,0.3
998,998.0,264.9,0.0,0.1,0.5,0.4
999,999.0,265.0,0.0,0.1,0.2,0.1
1000,1000.0,265.5,0.0,0.1,0.6,0.5
1001,1001.0,265.7,0.0,0.1,0.3,0.2
1002,1002.0,266.3,0.0,0.1,0.7,0.6
1003,1003.0,266.8,0.0,0.0,0.5,0.5
1004,1004.0,267.1,0.0,0.0,0.3,0.3
1005,1005.0,267.6,0.0,0.1,0.6,0.5
1006,1006.0,268.0,0.0,0.0,0.4,0.4
1007,1007.0,268.6,0.0,0.0,0.6,0.6
1008,1008.0,268.7,0.0,0.1,0.2,0.1
1009,1009.0,269.1,0.0,0.0,0.4,0.4
1010,1010.0,269.6,0.0,0.0,0.5,0.5
1011,1011.0,269.8,0.0,0.0,0.2,0.2
1012,1012.0,270.6,0.0,0.0,0.8,0.8
1013,1013.0,271.3,0.0,0.0,0.7,0.7
1014,1014.0,271.4,0.1,0.1,0.3,0.1
1015,1015.0,272.4,0.0,0.1,1.1,1.0
1016,1016.0,272.6,0.0,0.0,0.2,0.2
1017,1017.0,272.6,0.0,0.3,0.3,0.0
1018,1018.0,272.8,0.0,0.1,0.3,0.2
1019,1019.0,273.1,0.0,0.0,0.3,0.3
1020,1020.0,273.5,0.0,0.0,0.4,0.4
1021,1021.0,273.9,0.0,0.0,0.4,0.4
1022,1022.0,274.1,0.0,0.0,0.2,0.2
1023,1023.0,274.6,0.0,0.0,0.5,0.5
1024,1024.0,275.3,0.0,0.0,0.7,0.7
1025,1025.0,275.9,0.0,0.0,0.6,0.6
1026,1026.0,276.6,0.0,0.1,0.8,0.7
1027,1027.0,277.1,0.0,0.0,0.5,0.5
1028,1028.0,278.2,0.0,0.0,1.1,1.1
1029,1029.0,278.6,0.0,0.0,0.4,0.4
1030,1030.0,279.1,0.0,0.0,0.5,0.5
1031,1031.0,279.5,0.0,0.1,0.5,0.4
1032,1032.0,279.8,0.0,0.1,0.4,0.3
1033,1033.0,280.5,0.0,0.0,0.7,0.7
1034,1034.0,281.1,0.0,0.0,0.6,0.6
1035,1035.0,281.4,0.0,0.0,0.3,0.3
1036,1036.0,282.0,0.0,0.1,0.7,0.6
1037,1037.0,282.1,0.0,0.0,0.1,0.1
1038,1038.0,282.1,0.1,0.1,0.2,0.0
1039,1039.0,282.4,0.0,0.0,0.3,0.3
1040,1040.0,283.0,0.0,0.1,0.7,0.6
1041,1041.0,283.3,0.0,0.1,0.4,0.3
1042,1042.0,283.9,0.0,0.1,0.7,0.6
1043,1043.0,284.4,0.0,0.0,0.5,0.5
1044,1044.0,285.4,0.0,0.0,1.0,1.0
1045,1045.0,285.7,0.0,0.0,0.3,0.3
1046,1046.0,286.4,0.0,0.1,0.8,0.7
1047,1047.0,287.2,0.0,0.0,0.8,0.8
1048,1048.0,287.6,0.0,0.1,0.5,0.4
1049,1049.0,288.4,0.0,0.0,0.8,0.8
1050,1050.0,288.8,0.0,0.0,0.4,0.4
1051,1051.0,289.2,0.0,0.1,0.5,0.4
1052,1052.0,289.8,0.0,0.0,0.6,0.6
1053,1053.0,290.3,0.0,0.0,0.5,0.5
1054,1054.0,290.6,0.0,0.0,0.3,0.3
1055,1055.0,291.0,0.0,0.0,0.4,0.4
1056,1056.0,291.4,0.0,0.2,0.6,0.4
1057,1057.0,292.1,0.0,0.0,0.7,0.7
1058,1058.0,292.2,0.1,0.0,0.2,0.1
1059,1059.0,292.3,0.0,0.2,0.3,0.1
1060,1060.0,293.3,0.0,0.1,1.1,1.0
1061,1061.0,293.6,0.0,0.0,0.3,0.3
1062,1062.0,294.4,0.0,0.0,0.8,0.8
1063,1063.0,295.0,0.0,0.0,0.6,0.6
1064,1064.0,295.2,0.0,0.0,0.2,0.2
1065,1065.0,295.8,0.0,0.2,0.8,0.6
1066,1066.0,296.1,0.0,0.1,0.4,0.3
1067,1067.0,296.6,0.0,0.1,0.6,0.5
1068,1068.0,297.1,0.0,0.0,0.5,0.5
1069,1069.0,297.8,0.0,0.0,0.7,0.7
1070,1070.0,298.2,0.0,0.0,0.4,0.4
1071,1071.0,298.9,0.0,0.0,0.7,0.7
1072,1072.0,299.7,0.0,0.1,0.9,0.8
1073,1073.0,300.4,0.0,0.0,0.7,0.7
1074,1074.0,301.1,0.0,0.0,0.7,0.7
1075,1075.0,301.6,0.0,0.0,0.5,0.5
1076,1076.0,302.6,0.0,0.0,1.0,1.0
1077,1077.0,303.1,0.0,0.0,0.5,0.5
1078,1078.0,303.5,0.0,0.1,0.5,0.4
1079,1079.0,304.0,0.0,0.0,0.5,0.5
1080,1080.0,304.5,0.0,0.0,0.5,0.5
1081,1081.0,304.6,0.0,0.0,0.1,0.1
1082,1082.0,305.2,0.0,0.1,0.7,0.6
1083,1083.0,305.8,0.0,0.0,0.6,0.6
1084,1084.0,306.6,0.0,0.0,0.8,0.8
1085,1085.0,307.2,0.0,0.0,0.6,0.6
1086,1086.0,307.9,0.0,0.0,0.7,0.7
1087,1087.0,308.4,0.0,0.1,0.6,0.5
1088,1088.0,308.7,0.0,0.1,0.4,0.3
1089,1089.0,309.1,0.0,0.0,0.4,0.4
1090,1090.0,309.4,0.0,0.0,0.3,0.3
1091,1091.0,309.9,0.0,0.0,0.5,0.5
1092,1092.0,310.5,0.0,0.0,0.6,0.6
1093,1093.0,311.1,0.0,0.0,0.6,0.6
1094,1094.0,311.7,0.0,0.0,0.6,0.6
1095,1095.0,312.4,0.0,0.0,0.7,0.7
1096,1096.0,312.9,0.0,0.0,0.5,0.5
1097,1097.0,313.2,0.0,0.1,0.4,0.3
1098,1098.0,313.6,0.0,0.0,0.4,0.4
1099,1099.0,313.9,0.0,0.1,0.4,0.3
1100,1100.0,314.2,0.0,0.0,0.3,0.3
1101,1101.0,315.1,0.0,0.0,0.9,0.9
1102,1102.0,315.5,0.0,0.1,0.5,0.4
1103,1103.0,315.9,0.0,0.1,0.5,0.4
1104,1104.0,316.5,0.0,0.0,0.6,0.6
1105,1105.0,317.0,0.0,0.0,0.5,0.5
1106,1106.0,317.6,0.0,0.1,0.7,0.6
1107,1107.0,318.4,0.0,0.1,0.9,0.8
1108,1108.0,318.6,0.0,0.0,0.2,0.2
1109,1109.0,318.8,0.1,0.0,0.3,0.2
1110,1110.0,319.0,0.0,0.0,0.2,0.2
1111,1111.0,319.3,0.0,0.1,0.4,0.3
1112,1112.0,319.6,0.0,0.0,0.3,0.3
1113,1113.0,320.0,0.0,0.0,0.4,0.4
1114,1114.0,320.1,0.1,0.2,0.4,0.1
1115,1115.0,320.3,0.0,0.0,0.2,0.2
1116,1116.0,320.9,0.0,0.0,0.6,0.6
1117,1117.0,321.4,0.0,0.0,0.5,0.5
1118,1118.0,322.4,0.0,0.0,1.0,1.0
1119,1119.0,322.7,0.0,0.1,0.4,0.3
1120,1120.0,323.5,0.0,0.0,0.8,0.8
1121,1121.0,324.3,0.0,0.0,0.8,0.8
1122,1122.0,325.0,0.1,0.0,0.8,0.7
1123,1123.0,325.0,0.0,0.0,0.0,0.0
1124,1124.0,325.2,0.0,0.0,0.2,0.2
1125,1125.0,325.5,0.0,0.1,0.4,0.3
1126,1126.0,326.1,0.0,0.0,0.6,0.6
1127,1127.0,326.5,0.0,0.0,0.4,0.4
1128,1128.0,326.7,0.1,0.1,0.4,0.2
1129,1129.0,327.7,0.0,0.1,1.1,1.0
