,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,253,0,0,3,226,3
1,255,0,0,2,175,2
2,256,0,0,1,199,1
3,257,0,0,1,150,1
4,258,0,0,1,162,1
5,258,0,0,0,205,0
6,259,0,0,1,189,1
7,258,0,1,0,195,-1
8,258,0,0,0,198,0
9,258,0,0,0,234,0
10,257,0,1,0,190,-1
11,258,0,0,1,243,1
12,256,0,2,0,168,-2
13,256,0,0,0,145,0
14,259,0,0,3,239,3
15,259,0,1,1,174,0
16,259,0,0,0,145,0
17,260,0,0,1,239,1
18,261,0,0,1,181,1
19,259,0,2,0,240,-2
20,258,0,1,0,181,-1
21,257,0,1,0,142,-1
22,258,0,0,1,238,1
23,259,0,0,1,171,1
24,261,0,0,2,203,2
25,262,0,0,1,151,1
26,262,1,0,1,170,0
27,262,0,0,0,200,0
28,262,0,0,0,187,0
29,263,0,0,1,192,1
30,262,0,1,0,191,-1
31,262,0,1,1,208,0
32,263,1,0,2,188,1
33,263,0,1,1,242,0
34,262,1,0,0,177,-1
35,264,0,0,2,140,2
36,263,1,0,0,235,-1
37,263,0,0,0,176,0
38,263,0,0,0,195,0
39,263,0,0,0,160,0
40,264,0,0,1,165,1
41,264,0,0,0,201,0
42,264,0,0,0,237,0
43,263,1,1,1,183,-1
44,263,0,0,0,143,0
45,264,0,0,1,148,1
46,264,0,0,0,244,0
47,263,0,2,1,183,-1
48,262,0,1,0,125,-1
49,261,0,1,0,242,-1
50,261,0,0,0,177,0
51,260,0,1,0,142,-1
52,261,0,0,1,177,1
53,261,0,1,1,201,0
54,261,0,0,0,244,0
55,261,0,0,0,194,0
56,260,1,0,0,141,-1
57,259,1,1,1,215,-1
58,260,0,0,1,237,1
59,261,0,0,1,180,1
60,261,0,0,0,233,0
61,259,1,1,0,178,-2
62,258,0,1,0,200,-1
63,258,0,0,0,152,0
64,258,0,0,0,236,0
65,259,0,0,1,198,1
66,258,0,1,0,242,-1
67,258,0,0,0,183,0
68,258,0,0,0,134,0
69,256,0,2,0,231,-2
70,257,0,0,1,184,1
71,256,0,1,0,128,-1
72,255,0,1,0,235,-1
73,256,0,0,1,182,1
74,257,0,0,1,139,1
75,257,0,0,0,207,0
76,257,0,1,1,246,0
77,260,0,0,3,186,3
78,261,0,0,1,126,1
79,261,1,0,1,237,0
80,261,0,0,0,196,0
81,261,0,0,0,133,0
82,260,0,2,1,235,-1
83,260,0,1,1,181,0
84,260,1,0,1,237,0
85,260,0,0,0,180,0
86,261,0,0,1,133,1
87,262,0,0,1,236,1
88,262,0,0,0,188,0
89,262,0,0,0,143,0
90,262,0,0,0,236,0
91,262,0,0,0,172,0
92,261,0,1,0,131,-1
93,262,0,0,1,204,1
94,263,0,0,1,191,1
95,263,0,0,0,192,0
96,261,1,1,0,190,-2
97,261,1,0,1,178,0
98,259,0,2,0,233,-2
99,259,0,1,1,191,0
100,259,0,0,0,137,0
101,260,0,0,1,240,1
102,261,0,0,1,179,1
103,264,0,0,3,195,3
104,263,1,0,0,211,-1
105,265,0,0,2,156,2
106,265,1,0,1,248,0
107,263,0,2,0,177,-2
108,263,0,0,0,195,0
109,263,0,0,0,185,0
110,263,0,0,0,155,0
111,263,0,0,0,244,0
112,263,1,0,1,173,0
113,263,0,0,0,247,0
114,263,0,0,0,178,0
115,265,0,0,2,143,2
116,264,0,1,0,245,-1
117,265,0,0,1,179,1
118,265,0,0,0,141,0
119,265,0,0,0,244,0
120,265,0,0,0,189,0
121,265,1,0,1,244,0
122,265,0,0,0,182,0
123,267,0,0,2,149,2
124,268,0,0,1,168,1
125,269,0,0,1,249,1
126,268,0,1,0,186,-1
127,268,0,0,0,151,0
128,266,2,0,0,247,-2
129,266,0,0,0,182,0
130,266,0,0,0,147,0
131,265,1,0,0,243,-1
132,265,0,0,0,189,0
133,265,0,0,0,140,0
134,265,0,1,1,246,0
135,265,0,0,0,175,0
136,264,0,1,0,133,-1
137,265,0,0,1,214,1
138,266,0,0,1,241,1
139,267,0,0,1,193,1
140,266,0,1,0,133,-1
141,266,1,0,1,209,0
142,267,0,0,1,246,1
143,268,0,0,1,187,1
144,269,0,0,1,148,1
145,270,0,0,1,255,1
146,269,0,1,0,169,-1
147,270,0,0,1,243,1
148,270,0,1,1,180,0
149,269,1,0,0,137,-1
150,269,0,0,0,209,0
151,269,0,0,0,249,0
152,269,0,0,0,172,0
153,268,1,0,0,205,-1
154,268,0,0,0,141,0
155,268,0,1,1,245,0
156,268,0,0,0,202,0
157,268,0,0,0,157,0
158,268,0,0,0,251,0
159,269,0,0,1,194,1
160,269,0,0,0,202,0
161,268,0,1,0,205,-1
162,268,0,0,0,189,0
163,269,0,0,1,133,1
164,269,0,0,0,164,0
165,268,1,0,0,211,-1
166,268,0,0,0,245,0
167,269,0,0,1,188,1
168,269,1,0,1,244,0
169,269,1,0,1,191,0
170,268,0,1,0,146,-1
171,268,0,0,0,250,0
172,266,0,2,0,184,-2
173,266,0,0,0,221,0
174,266,0,1,1,145,0
175,267,0,0,1,244,1
176,267,0,0,0,185,0
177,265,1,1,0,158,-2
